unit,signal,type,group,pin
0,VDD,P,,45
0,GND,P,,24
0,VBB,P,,48
1,C1,I,L0,46
1,C2,I,L0,26
1,C3,I,L0,47
1,C4,I,L0,25
1,M0,NIOZ,L1,44
1,M1,NIOZ,L1,43
1,M2,NIOZ,L1,42
1,M3,NIOZ,L1,41
1,M4,NIOZ,L1,40
1,M5,NIOZ,L1,39
1,M6,NIOZ,L1,38
1,M7,NIOZ,L1,37
1,M8,NIOZ,L1,36
1,M9,NIOZ,L1,34
1,M10,NIOZ,L1,33
1,M11,NIOZ,L1,32
1,M12,NIOZ,L1,31
1,M13,NIOZ,L1,30
1,M14,NIOZ,L1,29
1,M15,NIOZ,L1,28
1,WI,I,L2,27
1,DA0,IOZ,R0,4
1,DA1,IOZ,R0,5
1,DA2,IOZ,R0,6
1,DA3,IOZ,R0,7
1,DA4,IOZ,R0,8
1,DA5,IOZ,R0,9
1,DA6,IOZ,R0,10
1,DA7,IOZ,R0,11
1,DA8,IOZ,R0,12
1,DA9,IOZ,R0,13
1,DA10,IOZ,R0,14
1,DA11,IOZ,R0,15
1,DA12,IOZ,R0,16
1,DA13,IOZ,R0,17
1,DA14,IOZ,R0,22
1,DA15,IOZ,R0,23
